time,p_z0,p_z025,p_z050,p_z075,p_z100,uz_top
4.75,994.82653583041,977.77229218082,877.27495617888,562.50932963398,-2.8119794499188e-13,-0.0023236876576261
5,993.48107840838,974.24860785946,867.6375414304,550.79667748515,-2.7402954413436e-13,-0.0023842406733893
5.25,991.94690626851,970.53417204493,858.16253145868,539.76142995138,-2.6737372021992e-13,-0.0024433202445942
5.5,990.22184712237,966.6453954184,848.86191848909,529.34291926171,-2.6117304577906e-13,-0.0025010273085753
5.75,988.30558017241,962.59782709163,839.74371169819,519.48748324366,-2.5537858302109e-13,-0.0025574519314594
6,986.19940814466,958.40606537157,830.81274181368,510.14749818025,-2.4994835222141e-13,-0.0026126748564334
6.25,983.90602974085,954.08372168602,822.07131482133,501.28056020328,-2.4484612051034e-13,-0.0026667687820729
6.5,981.42932077913,949.64342189269,813.51974264908,492.84879128393,-2.4004043559248e-13,-0.0027197994254039
6.75,978.77412942316,945.09683293863,805.15677377398,484.81824964971,-2.3550384854097e-13,-0.0027718264118821
7,975.94608869141,940.45470586665,796.97994249693,477.15842774745,-2.3121228389158e-13,-0.0028229040251401
7.25,972.95144779466,935.72692856007,788.98585212531,469.8418236793,-2.2714452548226e-13,-0.002873081842307
7.5,969.79692266809,930.92258347246,781.17040442069,462.84357439874,-2.2328179398045e-13,-0.0029224052753317
7.75,966.48956524804,926.05000700358,773.52898531829,456.14114092089,-2.1960739759265e-13,-0.002970916034614
8,963.03665050931,921.11684824422,766.0566150219,449.7140374334,-2.1610644160271e-13,-0.0030186525280441
8.25,959.44557995569,916.13012559754,758.74806904037,443.54359754385,-2.1276558551644e-13,-0.0030656502060499
8.5,955.72380008778,911.09628035626,751.59797549354,437.61277201548,-2.0957283897257e-13,-0.003111941861281
8.75,951.87873431318,906.02122672368,744.60089301783,431.90595326539,-2.0651738940677e-13,-0.003157557889994
9,947.9177267806,900.91039805392,737.75137279767,426.40882266271,-2.0358945586707e-13,-0.003202526520958
9.25,943.84799668518,895.76878928242,731.04400760023,421.10821729687,-2.0078016447821e-13,-0.0032468740166949
9.5,939.67660168847,890.60099564799,724.47347016651,415.9920134116,-1.9808144191366e-13,-0.0032906248510588
9.75,935.41040920947,885.41124788872,718.03454288728,411.04902413744,-1.9548592391453e-13,-0.0033338018665003
10,931.05607446205,880.2034441416,711.7221403468,406.26890952041,-1.929868764343e-13,-0.0033764264138217
10.25,926.62002423431,874.98117879853,705.53132603708,401.6420971491,-1.9057812742049e-13,-0.0034185184767876
10.5,922.10844552026,869.7477685782,699.45732431547,397.15971193826,-1.8825400759114e-13,-0.0034600967835896
10.75,917.52727822292,864.50627606899,693.49552849106,392.81351384112,-1.8600929884486e-13,-0.003501178906861
11,912.88221124768,859.25953098653,687.641505771,388.59584244362,-1.8383918917096e-13,-0.003541781353686
11.25,908.17868139563,854.01014937434,681.89099967128,384.49956754552,-1.8173923311274e-13,-0.0035819196468353
11.5,903.42187454779,848.76055095849,676.2399303918,380.51804496259,-1.7970531698938e-13,-0.0036216083982877
11.75,898.61672870401,843.51297484851,670.68439356912,376.64507689237,-1.7773362820823e-13,-0.0036608613759432
12,893.76793850374,838.26949375905,665.22065774885,372.87487627896,-1.7582062810328e-13,-0.0036996915643122
12.25,888.87996091244,833.03202690892,659.8451608601,369.20203469042,-1.739630278219e-13,-0.0037381112198574
12.5,883.95702180576,827.80235173799,654.55450592505,365.62149328931,-1.721577668546e-13,-0.0037761319215742
12.75,879.00312322644,822.58211456701,649.34545619597,362.1285165338,-1.7040199386233e-13,-0.0038137646173206
13,874.0220511252,817.37284031192,644.21492987729,358.71866829546,-1.6869304950684e-13,-0.0038510196663409
13.25,869.01738342858,812.17594135126,639.15999456242,355.38779012132,-1.6702845103185e-13,-0.0038879068783709
13.5,863.99249830351,806.99272563453,634.17786149095,352.13198140337,-1.6540587837904e-13,-0.0039244355496666
13.75,858.95058251178,801.82440410901,629.26587971209,348.9475812494,-1.6382316165281e-13,-0.0039606144962542
14,853.89463976692,796.67209753387,624.42153022387,345.83115187491,-1.6227826977391e-13,-0.0039964520846661
14.25,848.82749902297,791.53684274234,619.64242014373,342.77946335879,-1.6076930018352e-13,-0.0040319562603954
14.5,843.75182263839,786.41959840599,614.92627695473,339.78947962455,-1.5929446947818e-13,-0.0040671345742758
14.75,838.67011437089,781.3212503489,610.27094286218,336.85834552582,-1.5785210487187e-13,-0.0041019942069698
15,833.58472716818,776.24261645416,605.67436928749,333.98337492926,-1.5644063639482e-13,-0.004136541991729
15.25,828.49787072882,771.18445120038,601.13461151945,331.16203970054,-1.5505858975054e-13,-0.0041707844355718
15.5,823.4116188138,766.1474498619,596.64982353805,328.39195950988,-1.537045797624e-13,-0.0042047277390103
15.75,818.32791629547,761.13225240239,592.21825302102,325.67089238317,-1.5237730434953e-13,-0.0042383778144429
16,813.2485859355,756.13944708883,587.83823654009,322.99672593277,-1.510755389794e-13,-0.004271740303318
16.25,808.17533488695,751.16957384948,583.50819495061,320.36746920928,-1.4979813155051e-13,-0.004304820592165
16.5,803.10976091942,746.22312739746,579.22662897606,317.78124512181,-1.4854399766448e-13,-0.0043376238275786
16.75,798.05335836822,741.30056013912,574.99211498675,315.23628337987,-1.4731211625103e-13,-0.0043701549302336
17,793.00752381111,736.40228488437,570.80330097069,312.73091391447,-1.4610152551417e-13,-0.0044024186080035
17.25,787.97356147756,731.52867737483,566.65890269319,310.26356074053,-1.4491131917071e-13,-0.0044344193682449
17.5,782.95268839671,726.68007864373,562.55770004087,307.8327362263,-1.4374064295599e-13,-0.0044661615293099
17.75,777.94603929146,721.85679722036,558.49853354514,305.43703573872,-1.4258869137406e-13,-0.0044976492313376
18,772.95467122664,717.05911119081,554.48030107942,303.07513263653,-1.4145470467197e-13,-0.0045288864463772
18.25,767.97956801971,712.28727012531,550.50195472413,300.74577358558,-1.4033796602e-13,-0.004559876987886
18.5,763.02164442312,707.54149688215,546.56249779337,298.44777417307,-1.3923779888146e-13,-0.0045906245196457
18.75,758.08175008706,702.82198929655,542.66098201663,296.18001479929,-1.3815356455719e-13,-0.004621132564135
19,753.16067331213,698.12892176296,538.79650486932,293.94143682756,-1.3708465989145e-13,-0.0046514045103946
19.25,748.25914460084,693.46244671778,534.96820704548,291.73103897439,-1.3603051512706e-13,-0.0046814436214176
19.5,743.37784001722,688.82269602961,531.17527006632,289.54787392348,-1.3499059189877e-13,-0.0047112530410955
