sample,rank_within_sample,case,series,model_family,rank_within_sample_model_family,mesh,selection_status,run_status,comparable_for_ranking,stages_reached,total_stages,run_end_s,q_nrmse_pct,sigma_n_nrmse_pct,tau_nrmse_pct,dn_nrmse_pct,ds_nrmse_pct,mean_nrmse_pct,accuracy_pct_100_minus_mean_nrmse,source_csv,notes
SWS3,11,86_01_sw3_bbfast_biot0p6_phir8p45_m0_kernel_SV,86,BBFast,10,mesh5,historical_calibration,complete,true,11,11,4802.000000,6.792935,2.506848,6.299315,12.123881,15.589646,8.662525,91.337475,Examples/YeGhasemmi2018/SWS3/results_csv/86_01_sw3_bbfast_biot0p6_phir8p45_m0_kernel_SV.csv,historical SW-S3 residual-friction refit
SWS3,12,90_05_sw3_bbfast_paperjrc_L123p4_cohes1p67_kernel_SV_biot0p6,90,BBFast,11,mesh5,historical_calibration,complete,true,11,11,4802.000000,8.259285,3.101080,7.709546,15.152393,17.625505,10.369562,89.630438,Examples/YeGhasemmi2018/SWS3/results_csv_hpc_rorqual/90_05_sw3_bbfast_paperjrc_L123p4_cohes1p67_kernel_SV_biot0p6_hpc.csv,
SWS3,13,90_06_sw3_bbfast_jrc5p69_L123p4_kernel_SV_biot0p6,90,BBFast,12,mesh5,historical_calibration,complete,true,11,11,4802.000000,8.590855,3.266188,8.098099,15.783204,18.295012,10.806672,89.193328,Examples/YeGhasemmi2018/SWS3/results_csv_hpc_rorqual/90_06_sw3_bbfast_jrc5p69_L123p4_kernel_SV_biot0p6_hpc.csv,
SWS3,14,94_05_sw3_mc_final,94,Mohr-Coulomb,1,mesh5,matched_constitutive_baseline,complete,true,11,11,4802.000000,9.587715,8.180313,19.553778,27.485247,27.543597,18.470130,81.529870,Examples/YeGhasemmi2018/SWS3/results_csv_hpc_rorqual/94_05_sw3_mc_final_hpc.csv,
SWS3,15,102_03_sw3_mc_resc1p30_ppfix,102,Mohr-Coulomb,2,mesh5,best_case_constitutive_baseline,complete,true,11,11,4802.000000,9.614678,8.353447,19.970883,27.638396,28.140223,18.743525,81.256475,Examples/YeGhasemmi2018/SWS3/results_csv_hpc_rorqual/102_03_sw3_mc_resc1p30_ppfix_hpc.csv,MC on 99_06's residual cohesion 1.30 MPa; 0.273 points worse than 94_05
SWS3,16,96_03_sw3_biot0p2,96,BBFast,13,mesh5,sensitivity_probe,complete,true,11,11,4802.000000,6.144767,10.097542,23.982558,28.297263,25.969745,18.898375,81.101625,Examples/YeGhasemmi2018/SWS3/results_csv_hpc_rorqual/96_03_sw3_biot0p2_hpc.csv,
SWS3,17,84_01_sw3_bbfast_postevent_retreat4p5um_m0_kernel_SV_biot0p6,84,BBFast,14,mesh5,historical_sensitivity,complete,true,11,11,4802.000000,14.224177,9.433443,22.609788,33.175668,37.155137,23.319643,76.680357,Examples/YeGhasemmi2018/SWS3/results_csv/84_01_sw3_bbfast_postevent_retreat4p5um_m0_kernel_SV_biot0p6_biot_ab_20260815.csv,historical physical-Biot A/B arm before the SW-S3 strength refit
SWS3,18,89_02_sw3_bbfast_paperjrc_L123p4_kernel_SV_biot0p6,89,BBFast,15,mesh5,historical_calibration,complete,true,11,11,4802.000000,15.672317,9.881435,23.658234,34.664280,37.605431,24.296339,75.703661,Examples/YeGhasemmi2018/SWS3/results_csv_hpc_rorqual/89_02_sw3_bbfast_paperjrc_L123p4_kernel_SV_biot0p6_hpc.csv,
SWS3,19,91_06_sw3_bbfast_paperjrc_resc1p65_dc1e4_kernel_SV_biot0p6,91,BBFast,16,mesh5,historical_calibration,complete,true,11,11,4802.000000,9.336455,17.492223,41.652292,46.621495,45.891647,32.198822,67.801178,Examples/YeGhasemmi2018/SWS3/results_csv_hpc_rorqual/91_06_sw3_bbfast_paperjrc_resc1p65_dc1e4_kernel_SV_biot0p6_hpc.csv,
SWS3,,86_02_sw3_bbfast_biot0p6_phir9p00_m0_kernel_SV,86,BBFast,,mesh5,historical_calibration,partial,false,2,11,1304.250000,,,,,,,,Examples/YeGhasemmi2018/SWS3/results_csv/86_02_sw3_bbfast_biot0p6_phir9p00_m0_kernel_SV.csv,partial run; error and accuracy omitted; excluded from ranking
SWS3,,93_06_sw3_final_resc1p40_ppfix_mesh3,93,BBFast,,mesh3,mesh_sensitivity,partial,false,6,11,2833.500000,,,,,,,,Examples/YeGhasemmi2018/SWS3/results_csv_hpc_rorqual/93_06_sw3_final_resc1p40_ppfix_mesh3_hpc.csv,partial run; error and accuracy omitted; excluded from ranking
SWS3,,94_06_sw3_mc_final_mesh3,94,Mohr-Coulomb,,mesh3,matched_constitutive_baseline,partial,false,6,11,2804.250000,,,,,,,,Examples/YeGhasemmi2018/SWS3/results_csv_hpc_rorqual/94_06_sw3_mc_final_mesh3_hpc.csv,partial run; error and accuracy omitted; excluded from ranking
SWS3,,96_04_sw3_fpc1p0,96,BBFast,,mesh5,sensitivity_probe,partial,false,5,11,2474.913206,,,,,,,,Examples/YeGhasemmi2018/SWS3/results_csv_hpc_rorqual/96_04_sw3_fpc1p0_hpc.csv,partial run; error and accuracy omitted; excluded from ranking
