sample,case,group,design,run_status,run_end_s,expected_end_s,hold,cycle,probe_time_s,sample_time_s,injection_pressure_mpa,hydraulic_aperture_um,flow_ml_min,permeability_1e13_m2,shear_slip_mm,normal_dilation_mm,effective_normal_mpa,dilation_angle_deg,slip_damage_aperture_um,cumulative_plastic_slip_m,strength_margin_mpa,weakening_state_w,hydraulic_aperture_um_ratio_to_cycle1,flow_ml_min_ratio_to_cycle1,permeability_1e13_m2_ratio_to_cycle1,shear_slip_mm_change_from_cycle1,normal_dilation_mm_change_from_cycle1,analysis_status
SWS3,101_07_sw3_cyclic3_esc,B,escalating-peak 3-cycle,complete,14442.7,14442.746,floor,2,8861.46608,8861.25,8.00000007,1.44045838,0.0363530977,1.7452756,0.0195594623,-0.00920776325,29.2641699,26,0,1.78976186e-05,7.36734251,0.83204723,1.15424595,1.53778307,1.34650624,0.0166436859,-0.00847403303,valid
SWS3,101_07_sw3_cyclic3_esc,B,escalating-peak 3-cycle,complete,14442.7,14442.746,peak,3,11375.546,11375.25,28.5700004,1.98103688,0.742942643,3.32764769,0.0600693909,-0.0393776538,17.1738283,26,0.247756879,5.87155632e-05,-0.000883660138,0.37902289,1.43295113,3.54374847,2.0921664,0.0569401578,-0.0360881609,valid
SWS3,101_07_sw3_cyclic3_esc,B,escalating-peak 3-cycle,complete,14442.7,14442.746,floor,3,13889.6259,13890,8.00000009,1.53174863,0.0437121117,1.94204099,0.0598963766,-0.0290678734,26.1666305,26,0.248109558,5.87844707e-05,6.04670542,0.378419074,1.22739725,1.84907889,1.49831368,0.0569806002,-0.0283341431,valid
SWS3,101_07_sw3_cyclic3_esc,B,escalating-peak 3-cycle,complete,14442.7,14442.746,final_ambient,0,14342.746,14343,5.75000002,1.51881378,0.0106535142,1.91161329,0.059883173,-0.0288159335,27.2197175,26,0.248109558,5.87844707e-05,6.48344817,0.378419074,,,,,,valid
SWS4,101_08_sw4_cyclic3_esc,B,escalating-peak 3-cycle,complete,10715.6,10715.6495,peak,1,2319.27491,2319,23.96,0.940764486,0.0641866602,0.755354104,0.0738371556,-0.0361221211,18.1697023,18.2828062,0.232637647,7.32051495e-05,-0.156579425,0.374974182,1,1,1,0,0,qualified_failed_pre_injection_falsifier
SWS4,101_08_sw4_cyclic3_esc,B,escalating-peak 3-cycle,complete,10715.6,10715.6495,floor,1,3713.98101,3714,8,0.753492845,0.00521821965,0.472087799,0.0761517626,-0.0296435813,25.280923,18.1536078,0.236396245,7.56874099e-05,3.30118715,0.361480879,1,1,1,0,0,qualified_failed_pre_injection_falsifier
SWS4,101_08_sw4_cyclic3_esc,B,escalating-peak 3-cycle,complete,10715.6,10715.6495,peak,2,5258.39965,5259,25.96,1.00870315,0.0874671785,0.872937599,0.0851422616,-0.0433550501,16.6391431,17.7136174,0.247606896,8.45896502e-05,-0.0437412753,0.3166542,1.07221645,1.36270026,1.15566672,0.011305106,-0.00723292898,qualified_failed_pre_injection_falsifier
SWS4,101_08_sw4_cyclic3_esc,B,escalating-peak 3-cycle,complete,10715.6,10715.6495,floor,2,6802.81829,6802.776,8,0.765106419,0.00546324271,0.486849775,0.0855723597,-0.0328085785,24.6544017,17.6850291,0.248258143,8.51992505e-05,3.8475038,0.313779712,1.01541299,1.0469553,1.03126956,0.00942059711,-0.00316499716,qualified_failed_pre_injection_falsifier
SWS4,101_08_sw4_cyclic3_esc,B,escalating-peak 3-cycle,complete,10715.6,10715.6495,peak,3,8496.94948,8496.276,27.96,1.07715041,0.116671462,0.998989373,0.0936742699,-0.0499434664,15.3034599,17.3255782,0.255667137,9.31713887e-05,-0.0333361152,0.278341393,1.1449735,1.81769018,1.32254444,0.0198371142,-0.0138213453,qualified_failed_pre_injection_falsifier
SWS4,101_08_sw4_cyclic3_esc,B,escalating-peak 3-cycle,complete,10715.6,10715.6495,floor,3,10191.0807,10191.276,8,0.778931031,0.00576476985,0.504727207,0.0938875873,-0.0355185028,24.0968945,17.3070207,0.256013927,9.36023416e-05,4.38073656,0.276535698,1.03376035,1.10473883,1.06913843,0.0177358246,-0.00587492148,qualified_failed_pre_injection_falsifier
