time,aperture,aperture_init_error,mass_imbalance,p_q1,p_q2,p_q3,perm_rel_error,permeability,profile_max_error,q_in,q_out,transmissivity,transmissivity_rel_error
0.001025390625,1e-06,0,1.9163986022104,1678790.3595176,1399649.1631658,1179268.9222911,1.5146129380243e-16,8.3333333333333e-14,0.10035083683421,1.1556508134229e-11,1.0590367900641e-11,8.3333333333333e-17,1.4791141972894e-16
0.0010302734375,1e-06,0,1.9167203092038,1679418.7303778,1400527.8090437,1179883.1479882,1.5146129380243e-16,8.3333333333333e-14,0.099472190956276,1.1456054257515e-11,1.0501997601205e-11,8.3333333333333e-17,1.4791141972894e-16
0.00103515625,1e-06,0,1.9170186735301,1680041.4032189,1401398.741061,1180492.1623874,1.5146129380243e-16,8.3333333333333e-14,0.098601258939008,1.1356637372116e-11,1.041424853874e-11,8.3333333333333e-17,1.4791141972894e-16
0.0010400390625,1e-06,0,1.9172941588962,1680658.4343076,1402262.026934,1181096.0050079,1.5146129380243e-16,8.3333333333333e-14,0.097737973065976,1.1258243028001e-11,1.0327120569019e-11,8.3333333333333e-17,1.4791141972894e-16
0.001044921875,1e-06,0,1.9175472177069,1681269.8792019,1403117.7337852,1181694.715236,1.5146129380243e-16,8.3333333333333e-14,0.096882266214782,1.1160857086641e-11,1.0240613367072e-11,8.3333333333333e-17,1.4791141972894e-16
0.0010498046875,1e-06,0,1.9177782912799,1681875.792764,1403965.9281481,1182288.3323191,1.5146129380243e-16,8.3333333333333e-14,0.096034071851881,1.1064465711957e-11,1.0154726435045e-11,8.3333333333333e-17,1.4791141972894e-16
0.0010546875,1e-06,0,1.9179878100568,1682476.2291746,1404806.6759726,1182876.8953601,1.5146129380243e-16,8.3333333333333e-14,0.095193324027444,1.0969055361452e-11,1.0069459109652e-11,8.3333333333333e-17,1.4791141972894e-16
0.0010595703125,1e-06,0,1.9181761938313,1683071.2419448,1405640.0426297,1183460.4433113,1.5146129380243e-16,8.3333333333333e-14,0.094359957370266,1.0874612777567e-11,9.9848105694952e-12,8.3333333333333e-17,1.4791141972894e-16
0.001064453125,1e-06,0,1.9183438519418,1683660.8839294,1406466.0929173,1184039.0149696,1.5146129380243e-16,8.3333333333333e-14,0.09353390708271,1.0781124979523e-11,9.9007798419619e-12,8.3333333333333e-17,1.4791141972894e-16
0.0010693359375,1e-06,0,1.9184911834892,1684245.2073386,1407284.8910643,1184612.6489709,1.5146129380243e-16,8.3333333333333e-14,0.0927151089357,1.0688579255339e-11,9.8173658100539e-12,8.3333333333333e-17,1.4791141972894e-16
0.00107421875,1e-06,0,1.9186185775429,1684824.2637501,1408096.5007362,1185181.3837859,1.5146129380243e-16,8.3333333333333e-14,0.091903499263755,1.0596963154016e-11,9.7345672188164e-12,8.3333333333333e-17,1.4791141972894e-16
0.0010791015625,1e-06,0,1.9187264133366,1685398.1041207,1408900.9850399,1185745.2577152,1.5146129380243e-16,8.3333333333333e-14,0.091099014960058,1.0506264478184e-11,9.6523826816078e-12,8.3333333333333e-17,1.4791141972894e-16
0.001083984375,1e-06,0,1.9188150604799,1685966.7787974,1409698.4065284,1186304.3088852,1.5146129380243e-16,8.3333333333333e-14,0.090301593471579,1.0416471276784e-11,9.5708106861659e-12,8.3333333333333e-17,1.4791141972894e-16
0.0010888671875,1e-06,0,1.9188848791534,1686530.3375283,1410488.8272058,1186858.575244,1.5146129380243e-16,8.3333333333333e-14,0.089511172794225,1.0327571838112e-11,9.4898496004109e-12,8.3333333333333e-17,1.4791141972894e-16
0.00109375,1e-06,0,1.9189362202933,1687088.8294737,1411272.308532,1187408.0945577,1.5146129380243e-16,8.3333333333333e-14,0.088727691468044,1.0239554683141e-11,9.4094976780126e-12,8.3333333333333e-17,1.4791141972894e-16
0.0010986328125,1e-06,0,1.9189694258032,1687642.3032158,1412048.9114275,1187952.9044065,1.5146129380243e-16,8.3333333333333e-14,0.08795108857246,1.0152408558849e-11,9.3297530638458e-12,8.3333333333333e-17,1.4791141972894e-16
0.001103515625,1e-06,0,1.918984828735,1688190.8067694,1412818.6962784,1188493.0421817,1.5146129380243e-16,8.3333333333333e-14,0.087181303721556,1.0066122431982e-11,9.2506137991804e-12,8.3333333333333e-17,1.4791141972894e-16
0.0011083984375,1e-06,0,1.9189827534653,1688734.3875913,1413581.7229406,1189028.5450822,1.5146129380243e-16,8.3333333333333e-14,0.086418277059392,9.9806854830104e-12,9.1720778266486e-12,8.3333333333333e-17,1.4791141972894e-16
0.00111328125,1e-06,0,1.9189635159055,1689273.0925903,1414338.0507446,1189559.4501119,1.5146129380243e-16,8.3333333333333e-14,0.085661949255366,9.8960871000133e-12,9.0941429951355e-12,8.3333333333333e-17,1.4791141972894e-16
0.0011181640625,1e-06,0,1.9189274236591,1689806.9681361,1415087.7385004,1190085.7940765,1.5146129380243e-16,8.3333333333333e-14,0.084912261499611,9.8123168731829e-12,9.0168070644007e-12,8.3333333333333e-17,1.4791141972894e-16
0.001123046875,1e-06,0,1.91887477622,1690336.0600689,1415830.8445016,1190607.6135809,1.5146129380243e-16,8.3333333333333e-14,0.08416915549844,9.7293645891207e-12,8.9400677095914e-12,8.3333333333333e-17,1.4791141972894e-16
0.0011279296875,1e-06,0,1.9188058651333,1690860.4137078,1416567.4265302,1191124.9450272,1.5146129380243e-16,8.3333333333333e-14,0.083432573469819,9.6472202255737e-12,8.8639225254896e-12,8.3333333333333e-17,1.4791141972894e-16
0.0011328125,1e-06,0,1.9187209741791,1691380.0738598,1417297.5418611,1191637.8246119,1.5146129380243e-16,8.3333333333333e-14,0.082702458138886,9.5658739462163e-12,8.7883690307427e-12,8.3333333333333e-17,1.4791141972894e-16
0.0011376953125,1e-06,0,1.9186203795384,1691895.084828,1418021.2472665,1192146.2883239,1.5146129380243e-16,8.3333333333333e-14,0.081978752733511,9.4853160956712e-12,8.7134046718469e-12,8.3333333333333e-17,1.4791141972894e-16
0.001142578125,1e-06,0,1.918504349969,1692405.4904201,1418738.5990201,1192650.3719428,1.5146129380243e-16,8.3333333333333e-14,0.081261400979883,9.4055371945303e-12,8.6390268269711e-12,8.3333333333333e-17,1.4791141972894e-16
0.0011474609375,1e-06,0,1.9183731469498,1692911.3339561,1419449.6529019,1193150.111037,1.5146129380243e-16,8.3333333333333e-14,0.080550347098149,9.3265279348909e-12,8.5652328096806e-12,8.3333333333333e-17,1.4791141972894e-16
0.00115234375,1e-06,0,1.9182270248732,1693412.6582763,1420154.4642019,1193645.5409615,1.5146129380243e-16,8.3333333333333e-14,0.079845535798081,9.2482791755408e-12,8.4920198725538e-12,8.3333333333333e-17,1.4791141972894e-16
0.0011572265625,1e-06,0,1.9180662311769,1693909.505749,1420853.0877252,1194136.6968571,1.5146129380243e-16,8.3333333333333e-14,0.079146912274787,9.1707819377493e-12,8.4193852105351e-12,8.3333333333333e-17,1.4791141972894e-16
0.001162109375,1e-06,0,1.917891006515,1694401.9182777,1421545.5777955,1194623.6136486,1.5146129380243e-16,8.3333333333333e-14,0.07845442220445,9.0940274009128e-12,8.3473259642986e-12,8.3333333333333e-17,1.4791141972894e-16
0.0011669921875,1e-06,0,1.9177015849089,1694889.9373087,1422231.9882599,1195106.3260435,1.5146129380243e-16,8.3333333333333e-14,0.077768011740118,9.0180068984806e-12,8.2758392234549e-12,8.3333333333333e-17,1.4791141972894e-16
0.001171875,1e-06,0,1.9174981938955,1695373.603838,1422912.3724925,1195584.8685309,1.5146129380243e-16,8.3333333333333e-14,0.077087627507513,8.9427119139041e-12,8.204922029535e-12,8.3333333333333e-17,1.4791141972894e-16
0.0011767578125,1e-06,0,1.9172810546831,1695852.9584182,1423586.7833991,1196059.2753806,1.5146129380243e-16,8.3333333333333e-14,0.076413216600896,8.8681340767689e-12,8.1345713790096e-12,8.3333333333333e-17,1.4791141972894e-16
0.001181640625,1e-06,0,1.9170503822775,1696328.0411653,1424255.273421,1196529.5806418,1.5146129380243e-16,8.3333333333333e-14,0.075744726578951,8.7942651591885e-12,8.0647842260839e-12,8.3333333333333e-17,1.4791141972894e-16
0.0011865234375,1e-06,0,1.9168063856549,1696798.8917654,1424917.8945393,1196995.8181427,1.5146129380243e-16,8.3333333333333e-14,0.075082105460712,8.7210970719051e-12,7.9955574854388e-12,8.3333333333333e-17,1.4791141972894e-16
0.00119140625,1e-06,0,1.9165492678701,1697265.549481,1425574.6982785,1197458.0214892,1.5146129380243e-16,8.3333333333333e-14,0.07442530172153,8.6486218610679e-12,7.9268880348472e-12,8.3333333333333e-17,1.4791141972894e-16
0.0011962890625,1e-06,0,1.9162792262142,1697728.0531574,1426225.7357109,1197916.2240651,1.5146129380243e-16,8.3333333333333e-14,0.073774264289064,8.5768317046345e-12,7.858772717692e-12,8.3333333333333e-17,1.4791141972894e-16
0.001201171875,1e-06,0,1.9159964523465,1698186.441229,1426871.0574607,1198370.4590307,1.5146129380243e-16,8.3333333333333e-14,0.073128942539319,8.5057189091228e-12,7.791208345413e-12,8.3333333333333e-17,1.4791141972894e-16
0.0012060546875,1e-06,0,1.9157011324166,1698640.751725,1427510.7137073,1198820.7593228,1.5146129380243e-16,8.3333333333333e-14,0.072489286292708,8.4352759064656e-12,7.7241916997967e-12,8.3333333333333e-17,1.4791141972894e-16
0.0012109375,1e-06,0,1.9153934472067,1699091.0222754,1428144.7541898,1199267.1576544,1.5146129380243e-16,8.3333333333333e-14,0.071855245810156,8.3654952508188e-12,7.6577195352382e-12,8.3333333333333e-17,1.4791141972894e-16
0.0012158203125,1e-06,0,1.9150735722448,1699537.2901169,1428773.2282108,1199709.6865142,1.5146129380243e-16,8.3333333333333e-14,0.071226771789234,8.296369615708e-12,7.591788580909e-12,8.3333333333333e-17,1.4791141972894e-16
0.001220703125,1e-06,0,1.9147416779378,1699979.5920984,1429396.1846397,1200148.3781665,1.5146129380243e-16,8.3333333333333e-14,0.070603815360328,8.2278917909814e-12,7.5263955427729e-12,8.3333333333333e-17,1.4791141972894e-16
0.0012255859375,1e-06,0,1.9143979296956,1700417.9646865,1430013.6719172,1200583.2646511,1.5146129380243e-16,8.3333333333333e-14,0.06998632808284,8.1600546800499e-12,7.4615371056408e-12,8.3333333333333e-17,1.4791141972894e-16
0.00123046875,1e-06,0,1.9140424880414,1700852.443971,1430625.7380586,1201014.3777831,1.5146129380243e-16,8.3333333333333e-14,0.069374261941428,8.0928512971488e-12,7.3972099349948e-12,8.3333333333333e-17,1.4791141972894e-16
0.0012353515625,1e-06,0,1.9136755087382,1701283.0656699,1431232.4306577,1201441.7491534,1.5146129380243e-16,8.3333333333333e-14,0.068767569342268,8.0262747647102e-12,7.3334106789188e-12,8.3333333333333e-17,1.4791141972894e-16
0.001240234375,1e-06,0,1.913297142887,1701709.8651348,1431833.7968906,1201865.4101279,1.5146129380243e-16,8.3333333333333e-14,0.068166203109361,7.9603183108366e-12,7.2701359697578e-12,8.3333333333333e-17,1.4791141972894e-16
0.0012451171875,1e-06,0,1.9129075370665,1702132.8773559,1432429.8835191,1202285.3918487,1.5146129380243e-16,8.3333333333333e-14,0.067570116480861,7.8949752666657e-12,7.2073824258923e-12,8.3333333333333e-17,1.4791141972894e-16
0.00125,1e-06,0,1.9125068334163,1702552.1369668,1433020.7368946,1202701.7252334,1.5146129380243e-16,8.3333333333333e-14,0.066979263105445,7.830239064117e-12,7.1451466532899e-12,8.3333333333333e-17,1.4791141972894e-16
0.0012548828125,1e-06,0,1.9120951697507,1702967.6782493,1433606.4029613,1203114.440976,1.5146129380243e-16,8.3333333333333e-14,0.066393597038707,7.766103233539e-12,7.0834252470966e-12,8.3333333333333e-17,1.4791141972894e-16
0.001259765625,1e-06,0,1.9116726796764,1703379.5351385,1434186.9272604,1203523.5695469,1.5146129380243e-16,8.3333333333333e-14,0.06581307273959,7.7025614013104e-12,7.0222147931045e-12,8.3333333333333e-17,1.4791141972894e-16
0.0012646484375,1e-06,0,1.911239492687,1703787.741227,1434762.3549332,1203929.1411935,1.5146129380243e-16,8.3333333333333e-14,0.065237645066842,7.6396072877601e-12,6.9615118692261e-12,8.3333333333333e-17,1.4791141972894e-16
