time,closure,closure_rel_error,cum_slip,envelope_rel_error,fracture_state,limit_tau,limit_tau_reference,mu_eff,mu_reference,normal_jump,phi_peak,phi_peak_reference,sigma_n,sigma_n_reference,strength_rel_error,tau,tau_1,tau_2,weakening_rel_error,yield_rel_error
5.615625,4.4926403896021e-05,1.7624795997128e-11,0.00013033096174362,3.9253696055804e-16,1,15399317.735955,15399317.735955,0.42822226008395,0.42822226008395,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,15399317.735989,15399317.735989,6.3221704455899e-11,0,0
5.815625,4.4926403896021e-05,1.7624795997128e-11,0.00013605468417289,3.9253696055804e-16,1,15305201.556985,15305201.556985,0.42560508940405,0.42560508940405,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,2.4340027699679e-16,15305201.557007,15305201.557007,-3.6803285827478e-11,0,0
6.015625,4.4926403896021e-05,1.7624795997128e-11,0.00014177738445883,3.9253696055804e-16,1,15221279.628205,15221279.628205,0.42327139913095,0.42327139913095,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,15221279.628219,15221279.628219,-2.6907947445673e-12,0,0
6.215625,4.4926403896021e-05,1.7624795997128e-11,0.00014749917360604,3.9253696055804e-16,1,15146444.855568,15146444.855568,0.42119040333483,0.42119040333483,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,1.2297573239084e-16,15146444.855576,15146444.855576,-7.29213960771e-11,0,0
6.415625,4.4926403896021e-05,1.7624795997128e-11,0.00015322015050449,3.9253696055804e-16,1,15079710.968943,15079710.968943,0.41933467594192,0.41933467594192,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,15079710.968948,15079710.968948,5.4490218582923e-11,0,0
6.615625,4.4926403896021e-05,1.7626039105887e-11,0.0001589404032639,3.9253696055804e-16,1,15020199.214274,15020199.214274,0.41767978067171,0.41767978067171,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,15020199.214278,15020199.214278,3.171585811941e-11,0,0
6.815625,4.4926403896021e-05,1.7624795997128e-11,0.00016466001039859,3.9253696055804e-16,1,14967126.536358,14967126.536358,0.41620394242511,0.41620394242511,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,14967126.53636,14967126.53636,7.4229680844105e-11,0,0
7.015625,4.4926403896021e-05,1.7624795997128e-11,0.00017037904188014,3.9253696055804e-16,1,14919795.080218,14919795.080218,0.41488775534016,0.41488775534016,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,2.496877657121e-16,14919795.080219,14919795.080219,-8.8346921846409e-11,0,0
7.215625,4.4926403896021e-05,1.7624795997128e-11,0.00017609756007299,3.9253696055804e-16,1,14877582.859924,14877582.859924,0.41371392331153,0.41371392331153,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,14877582.859925,14877582.859925,1.2670029417535e-11,0,0
7.415625,4.4926403896021e-05,1.7624795997128e-11,0.00018181562056636,3.9253696055804e-16,1,14839935.46183,14839935.46183,0.41266702927541,0.41266702927541,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,1.2551571764055e-16,14839935.46183,14839935.46183,4.3261740997638e-11,0,0
7.615625,4.4926403896021e-05,1.7624795997128e-11,0.00018753327291411,3.9253696055804e-16,1,14806358.665027,14806358.665027,0.41173332999991,0.41173332999991,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,14806358.665027,14806358.665027,-1.2184221599013e-10,0,0
7.815625,4.4926403896021e-05,1.7624795997128e-11,0.00019325056129313,3.9253696055804e-16,1,14776411.87559,14776411.87559,0.41090057350543,0.41090057350543,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,1.2605530794035e-16,14776411.87559,14776411.87559,1.1145728074399e-11,0,0
8,4.4926403896021e-05,1.7626039105887e-11,0.00019852089814619,3.9253696055804e-16,1,14751680.723114,14751680.723114,0.41021285277721,0.41021285277721,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,14751680.723115,14751680.723115,1.7642909450043e-11,0,0
