time,admissible_work,closure_headroom,cum_slip,dilation_inc,dilation_work,fracture_state,limit_tau,limiter_violation,mu_eff,mu_reference,normal_jump,normal_plastic_jump,pressure,roughness,slip_inc,strength_rel_error,tau,tau_1,tau_2,yield_rel_error
3,33.101802169188,0.76984810120782,5.5784307621238e-05,8.8376858500635e-07,27.393348994382,2,11049915.455875,0,0.35583520913007,0.35583520913007,2.6119334548399e-05,1.7097717148523e-05,30996065.552822,0.30035955459581,3.3285123614618e-06,0,11049915.455875,11049915.455875,-6.604425431033e-10,6.2369590787145e-15
3.1,31.98611275847,0.77895015942776,5.9046851773605e-05,8.5282319840261e-07,26.434163621988,2,10893377.568977,0,0.35083286250487,0.35083286250487,2.6554700129417e-05,1.7950540346926e-05,30996065.38788,0.29392796607768,3.2625441523667e-06,0,10893377.568977,10893377.568977,5.1098158793193e-09,5.1296628729794e-16
3.2,30.975717043659,0.78733196545468,6.2250070848872e-05,8.2480646432145e-07,25.565755010158,2,10744648.609142,0,0.34607774432999,0.34607774432999,2.6995082687757e-05,1.8775346811247e-05,30996065.278405,0.28781424270998,3.203219075267e-06,1.6040081207397e-16,10744648.609142,10744648.609142,-6.7283585265792e-09,1.7335561329071e-16
3.3,30.058248777335,0.79506601776672,6.5399929055046e-05,7.9937036718399e-07,24.777336025954,2,10603034.172006,0,0.34154806029924,0.34154806029924,2.7439737783637e-05,1.9574717178431e-05,30996065.20722,0.28199036324188,3.1498582061742e-06,1.6252808223423e-16,10603034.172006,10603034.172006,8.7232118845819e-09,3.8647610314481e-15
3.4,29.222559993623,0.80221694919541,6.8501737788005e-05,7.7620263854963e-07,24.059227563814,2,10467928.199121,0,0.33722476820921,0.33722476820921,2.7887969459557e-05,2.0350919816981e-05,30996065.162532,0.27643184484041,3.1018087329593e-06,1.6461172625618e-16,10467928.199121,10467928.199121,-3.350710235063e-09,7.1175312394187e-15
3.5,28.458812647774,0.80884211880856,7.1560206922467e-05,7.5502860985706e-07,23.402915970955,2,10338800.737165,0,0.33309120137419,0.33309120137419,2.8339140694011e-05,2.1105948426838e-05,30996065.136374,0.27111725890967,3.0584691344619e-06,0,10338800.737165,10338800.737165,1.0059590131335e-08,5.4048197559374e-16
3.6,27.758427840789,0.81499232721426,7.457950531193e-05,7.356093527455e-07,22.800995403092,2,10215186.981358,0,0.32913272979497,0.32913272979497,2.8792676334919e-05,2.1841557779583e-05,30996065.123415,0.26602779545068,3.019298389463e-06,0,10215186.981358,10215186.981358,5.7392777767987e-09,2.1880893449687e-15
3.7,27.113972310526,0.82071254837348,7.7563322031313e-05,7.1773823533932e-07,22.247061081782,2,10096677.756675,0,0.32533646475669,0.32533646475669,2.9248061832192e-05,2.2559296014923e-05,30996065.120126,0.2611468832586,2.9838167193825e-06,1.7062689628958e-16,10096677.756675,10096677.756675,-2.1463558234489e-09,1.2913669584034e-15
3.8,26.519024228029,0.82604262420515,8.0514924158112e-05,7.0123700660748e-07,21.73558792431,2,9982911.3849913,0,0.32169100579421,0.32169100579421,2.9704839761149e-05,2.326053302153e-05,30996065.124208,0.25645986459255,2.9516021267992e-06,0,9982911.3849913,9982911.3849913,-1.0786680977341e-08,3.7316672008755e-16
3.9,25.968039427656,0.83101789798437,8.3437209257997e-05,6.8595195959931e-07,21.261811618678,2,9873566.7998213,0,0.31818622605758,0.31818622605758,3.0162605316363e-05,2.394648498113e-05,30996065.134208,0.25195371921689,2.9222850998853e-06,0,9873566.7998212,9873566.7998212,-7.7225555766542e-10,5.4708405202338e-15
4,25.456227827644,0.83566977870342,8.6332752022443e-05,6.7175042120372e-07,20.821619819672,2,9768357.7440412,0,0.3148130911606,0.3148130911606,3.0621001461599e-05,2.4618235402333e-05,30996065.149258,0.2476168314922,2.8955427644453e-06,0,9768357.7440412,9768357.7440412,-2.3494882312153e-09,1.906815043058e-15
4.1,24.979443767923,0.84002623701045,8.9203845169132e-05,6.5851765680792e-07,20.411456205295,2,9667027.8886343,0,0.31156350659514,0.31156350659514,3.1079714122532e-05,2.5276753059141e-05,30996065.168908,0.24343879419375,2.8710931466895e-06,1.7816961889375e-16,9667027.8886343,9667027.8886343,3.2837997924862e-09,3.8536045839299e-15
4.2,24.534090913322,0.8441122374385,9.2052535032349e-05,6.4615419801754e-07,20.028237646483,2,9569346.7255909,0,0.30843018921367,0.30843018921367,3.1538467629178e-05,2.5922907257159e-05,30996065.193002,0.23941024327472,2.8486898632173e-06,1.79979629662e-16,9569346.7255909,9569346.7255909,-7.4593826242496e-09,2.1411175944485e-15
4.3,24.117040898179,0.84795011333244,9.4880652396468e-05,6.3457356412675e-07,19.669283581577,2,9475106.1073583,0,0.30540655884993,0.30540655884993,3.1997020507896e-05,2.6557480821285e-05,30996065.221601,0.23552271852134,2.8281173641187e-06,1.8176149012744e-16,9475106.1073583,9475106.1073583,2.6650631866069e-10,1.7692473470097e-15
4.4,23.725564274118,0.85155989128644,9.7689839150052e-05,6.2370033318271e-07,19.332256226852,2,9384117.3246027,0,0.30248664673162,0.30248664673162,3.2455161660117e-05,2.7181181154468e-05,30996065.254929,0.2317685457978,2.8091867535841e-06,0,9384117.3246027,9384117.3246027,5.2120413570803e-09,2.1833802725189e-15
4.5,23.357272153199,0.85495957164987,0.00010048157131127,6.1346851521829e-07,19.015110153108,2,9296208.6317601,0,0.29966501787853,0.29966501787853,3.2912706929175e-05,2.7794649669686e-05,30996065.293329,0.2281407372724,2.7917321612168e-06,1.8524401554858e-16,9296208.6317601,9296208.6317601,-1.3129573911448e-09,2.0036610870235e-16
4.6,23.010066987174,0.85816537110011,0.00010325717892533,6.0382018251928e-07,18.716049829312,2,9211223.1452766,0,0.29693670515265,0.29693670515265,3.3369496037187e-05,2.8398469852206e-05,30996065.33724,0.22463290662484,2.7756076140627e-06,0,9211223.1452766,9211223.1452766,4.8191957349077e-09,2.6287916987897e-15
4.7,22.682101069187,0.86119193260819,0.00010601786327682,5.9470431645509e-07,18.433493878875,2,9129017.0525073,0,0.29429715302923,0.29429715302923,3.3825389864245e-05,2.8993174168661e-05,30996065.387171,0.22123919675187,2.7606843514874e-06,1.8862279386625e-16,9129017.0525072,9129017.0525072,3.9873977782457e-09,2.6524637647984e-15
4.8,22.371741522722,0.8640525074426,0.00010876471180197,5.8607583576909e-07,18.166044960463,2,9049458.0801281,0,0.29174216949466,0.29174216949466,3.4280268038357e-05,2.957925000443e-05,30996065.443689,0.2179542179217,2.7468485251495e-06,1.9027469127076e-16,9049458.0801281,9049458.0801281,4.4679294340587e-09,1.0291473438178e-15
4.9,22.077540721782,0.86675911321709,0.00011149871103229,5.7789477647274e-07,17.912464347935,2,8972424.1799072,0,0.28926788475538,0.28926788475538,3.4734026803994e-05,3.0157144780903e-05,30996065.507402,0.21477299468549,2.7339992303211e-06,0,8972424.1799073,8972424.1799073,2.1223103997859e-09,3.9443362379858e-15
5,21.798211251675,0.86932267141303,0.00011422075785276,5.70125598263e-07,17.671650432001,2,8897802.3970543,0,0.28687071567131,0.28687071567131,3.5186577138438e-05,3.0727270379166e-05,30996065.578954,0.21169092014883,2.7220468204713e-06,1.9350581359047e-16,8897802.3970543,8897802.3970543,1.0656211088504e-08,1.2560259709842e-15
5.1,21.532604665146,0.87175312730167,0.00011693166931582,5.6273659654003e-07,17.442620495084,2,8825487.8924088,0,0.28454733501495,0.28454733501495,3.563784308736e-05,3.1290006975706e-05,30996065.659012,0.20870371644779,2.7109114630575e-06,0,8825487.8924088,8825487.8924088,-3.8660023031711e-09,2.5326352563463e-15
5.2,21.279693413448,0.87405955475569,0.00011963219121613,5.5569940265104e-07,17.224495220839,2,8755383.0946635,0,0.28229464481146,0.28229464481146,3.6087760293682e-05,3.1845706378357e-05,30996065.748258,0.20580740047187,2.7005219003075e-06,0,8755383.0946635,8755383.0946635,-1.0564402286242e-08,2.5529141956558e-15
5.3,21.038555437014,0.87625024806557,0.0001223230056002,5.489885579581e-07,17.01648549193,2,8687396.9628598,0,0.28010975314057,0.28010975314057,3.6536274696513e-05,3.2394694936315e-05,30996065.847385,0.20299825403788,2.6908143840704e-06,3.9635286246816e-16,8687396.9628598,8687396.9628598,1.8321525358171e-08,4.2881547998649e-16
5.4,20.808360988189,0.87833280255949,0.0001250047373587,5.4258114980277e-07,16.817881106359,2,8621444.3426962,0,0.27798995388496,0.27798995388496,3.6983341379577e-05,3.2937276086118e-05,30996065.957088,0.20027279785209,2.6817317585046e-06,1.9968761624469e-16,8621444.3426962,8621444.3426962,-1.6635335137031e-08,1.0802396183239e-15
5.5,20.588361331343,0.88031418555646,0.00012767796002712,5.3645649948628e-07,16.628041106082,2,8557445.4029105,0,0.27593270899387,0.27593270899387,3.7428923550966e-05,3.3473732585604e-05,30996066.07806,0.19762776870641,2.6732226684199e-06,2.0117640794985e-16,8557445.4029105,8557445.4029105,7.3105099841882e-09,8.706547627391e-16
5.6,20.377879025667,0.88220079895534,0.00013034320090167,5.3059589406762e-07,16.446385463797,2,8495325.1402195,0,0.27393563290137,0.27393563290137,3.7872991638312e-05,3.4004328479672e-05,30996066.210986,0.19506009944461,2.665240874549e-06,0,8495325.1402195,8495325.1402195,-1.9903642403115e-08,2.4118084126691e-15
5.7,20.176299545803,0.88399853457087,0.00013300094556164,5.2498235517445e-07,16.272387916997,2,8435012.9431462,0,0.27199647879525,0.27199647879525,3.8315522485419e-05,3.4529310834846e-05,30996066.356535,0.19256690130817,2.6577446599728e-06,0,8435012.9431462,8435012.9431462,2.4575560410755e-08,8.8329213566622e-16
5.8,19.983064036,0.88571282316575,0.000135651641876,5.1960043915547e-07,16.105569773473,2,8376442.2065812,0,0.27011312648107,0.27011312648107,3.8756498638173e-05,3.5048911274001e-05,30996066.51536,0.1901454483328,2.6506963143612e-06,0,8376442.2065811,8376442.2065811,-1.9164605551816e-08,4.8920761670015e-15
5.9,19.797663027613,0.88734867799139,0.00013829570356083,5.1443606385378e-07,15.945494541969,2,8319549.9901839,0,0.26828357162465,0.26828357162465,3.9195907709077e-05,3.5563347337855e-05,30996066.688087,0.1877931635174,2.644061684823e-06,2.0691222684676e-16,8319549.9901839,8319549.9901839,1.1819329585382e-08,2.9105404701664e-15
6,19.619584402047,0.88891065693382,0.00014093350718303,5.0947517657396e-07,15.791725797594,2,8264276.4006462,0,0.26650592028757,0.26650592028757,3.9633744142857e-05,3.6072822514429e-05,30996065.213201,0.1855076117983,2.6378036222012e-06,0,8264276.4006462,8264276.4006462,1.3354704476844e-09,7.550402415674e-15
